f,real,imag
4.5781,0.0025232,0.0020561
4.5859,0.0024174,0.0015458
4.5938,0.0025349,0.0014636
4.6016,0.0040837,0.0021635
4.6094,0.0047923,0.0027653
4.6172,0.0021807,0.0013012
4.625,0.0020054,0.001128
4.6328,0.0029061,0.0015929
4.6406,0.004853,0.0025643
4.6484,0.0026348,0.0013781
4.6562,0.0023354,0.0011713
4.6641,0.0034222,0.0017655
4.6719,0.0025977,0.0013363
4.6797,0.0043373,0.0023892
4.6875,0.0027074,0.0015261
4.6953,0.004978,0.0031924
4.7031,0.0029221,0.0018364
4.7109,0.0034608,0.0019822
4.7188,0.0043237,0.0024782
4.7266,0.0022983,0.0013226
4.7344,0.003062,0.0017739
4.7422,0.0024244,0.0015121
4.75,0.0027182,0.0016156
4.7578,0.0029913,0.0019711
4.7656,0.0018784,0.0012827
4.7734,0.0015721,0.0010834
4.7812,0.0020717,0.0015329
4.7891,0.0016021,0.0012133
4.7969,0.0029944,0.0021617
4.8047,0.003218,0.0025581
4.8125,0.0020225,0.0015846
4.8203,0.003258,0.0027832
4.8281,0.0033197,0.0025485
4.8359,0.0043493,0.0033418
4.8438,0.0040829,0.0035388
4.8516,0.0022049,0.001893
4.8594,0.0016878,0.0014618
4.8672,0.0032975,0.0031488
4.875,0.0025937,0.0024989
4.8828,0.0022685,0.0019039
4.8906,0.0037401,0.0030641
4.8984,0.0030589,0.0025145
4.9062,0.002695,0.0020511
4.9141,0.0021497,0.0017259
4.9219,0.0016435,0.0013736
4.9297,0.0025459,0.0020057
4.9375,0.0025976,0.0017927
4.9453,0.0024911,0.00181
4.9531,0.0023694,0.0018468
4.9609,0.002315,0.0021366
4.9688,0.0025751,0.0019509
4.9766,0.0037425,0.002664
4.9844,0.0036143,0.0024329
4.9922,0.002542,0.0014873
5,0.00506,0.0028762
5.0078,0.0028284,0.0017652
5.0156,0.00337,0.002052
5.0234,0.0037303,0.0026004
5.0312,0.0015163,0.0010583
5.0391,0.003162,0.002045
5.0469,0.0047311,0.0029784
5.0547,0.0045676,0.0024427
5.0625,0.005171,0.0025789
5.0703,0.0049338,0.0025749
5.0781,0.003971,0.0021392
5.0859,0.0020939,0.00095214
5.0938,0.0028798,0.0013548
5.1016,0.0033331,0.0020251
5.1094,0.0037932,0.0022471
5.1172,0.0050259,0.0024756
5.125,0.0027301,0.0014411
5.1328,0.0033267,0.002015
5.1406,0.0041234,0.0023845
5.1484,0.0040338,0.0022273
5.1562,0.0030721,0.0016236
5.1641,0.0052641,0.002489
5.1719,0.0047684,0.0022096
5.1797,0.0064394,0.0031831
5.1875,0.0038608,0.0015603
5.1953,0.0043409,0.0016161
5.2031,0.0037526,0.0015714
5.2109,0.0033994,0.0014866
5.2188,0.0034239,0.0015016
5.2266,0.0048797,0.0018677
5.2344,0.0022815,0.00092474
5.2422,0.0035866,0.0015112
5.25,0.003263,0.0012627
5.2578,0.0041415,0.001239
5.2656,0.0029443,0.0010713
5.2734,0.005085,0.0017531
5.2812,0.0031735,0.00095206
5.2891,0.0055667,0.0017227
5.2969,0.0041055,0.0011266
5.3047,0.0041363,0.0011046
5.3125,0.0049592,0.0015771
5.3203,0.0050798,0.0013123
5.3281,0.0029857,0.00096822
5.3359,0.0031016,0.00080257
5.3438,0.0066861,0.0015454
5.3516,0.0070965,0.0015283
5.3594,0.0050332,0.0011468
5.3672,0.0044945,0.0011186
5.375,0.0082422,0.0018803
5.3828,0.00507,0.00078907
5.3906,0.0048499,0.00058151
5.3984,0.0049249,0.000537
5.4062,0.0066573,0.00090608
5.4141,0.0062089,0.0011224
5.4219,0.0062788,0.0018144
5.4297,0.0041279,0.0011989
5.4375,0.0061462,0.0017265
5.4453,0.0058364,0.0015559
5.4531,0.0048764,0.0010919
5.4609,0.0037041,0.00081507
5.4688,0.0061645,0.0011338
5.4766,0.0064551,0.0010431
5.4844,0.0059281,0.00089017
5.4922,0.0051756,0.00069045
5.5,0.0033621,0.00058841
5.5078,0.0059012,0.0011924
5.5156,0.0046316,0.0011351
5.5234,0.0053883,0.0015059
5.5312,0.0055434,0.0013186
5.5391,0.0054637,0.0012482
5.5469,0.0074201,0.0012783
5.5547,0.0066459,0.0014267
5.5625,0.0060367,0.0011645
5.5703,0.0076049,0.0011914
5.5781,0.0060933,0.00073183
5.5859,0.0064634,0.0005996
5.5938,0.007702,0.00037952
5.6016,0.0064634,0.00052167
5.6094,0.0058675,0.00036454
5.6172,0.0041842,3.493e-05
5.625,0.0089521,0.00013411
5.6328,0.007826,5.4735e-05
5.6406,0.0056877,3.9562e-06
5.6484,0.010331,-3.3082e-05
5.6562,0.0074565,-0.00048598
5.6641,0.0049484,-0.00023627
5.6719,0.0071925,-0.00023831
5.6797,0.0062428,-0.00019849
5.6875,0.0055455,-8.3717e-05
5.6953,0.0081466,-0.00057783
5.7031,0.0088401,-0.00041025
5.7109,0.005767,-0.00036755
5.7188,0.0032991,-0.00016878
5.7266,0.0068049,-0.00027729
5.7344,0.0049415,-0.00013667
5.7422,0.0055303,8.0409e-05
5.75,0.0078373,0.00042059
5.7578,0.0050849,0.00027426
5.7656,0.0063312,0.00041997
5.7734,0.0075913,-0.00019774
5.7812,0.0077747,-0.00043313
5.7891,0.0052665,-0.000383
5.7969,0.0043414,-0.00037316
5.8047,0.0066344,-0.00091516
5.8125,0.0056208,-0.00074328
